country,keywords
Bolivia,"Tropical,Semi-arid,Subtropical,Humid,Dry,Hot,Cold,Variable,Temperate,Rainy,Windy,Snowy,Mountainous,Desert,Mild,Arctic,Alpine,Oceanic,Subarctic,Continental"
Bosnia & Herzegovina,"Mediterranean,Continental,Hot summers,Cold winters,Rainy,Snowy,Humid,Sunny,Windy,Mild,Temperate,High precipitation,Thunderstorms,Foggy,Pleasant,Variable,Oceanic,Mountainous,Arid,Moderate"
Botswana,"Semi-arid,Sub-tropical,Hot,Dry,Low Humidity,High Temperatures,Rainy Season,Long Summers,Short Winters,Little Snow,Windy,Dusty,Cool Nights,High UV Index,Monsoons,Thunderstorms,Hailstorms,Foggy,Humid,Variable"
Brazil,"Tropical,Humid,Hot,Rainy,Dry,Subtropical,Temperate,Mild,Warm,Monsoons,Windy,Humid Subtropical,Oceanic,Desert,Alpine,High Altitude,Equatorial,Cool,Wet,Seasonal"
British Virgin Is.,"Tropical,Hot,Humid,Semi-arid,Wet,Rainy,Windy,Dry,Mild,Oceanic,Sunny,Warm,Pleasant,Breezy,Cool,Arid,Monsoon,Variable,Humid Subtropical,Hot and Dry"
Brunei,"Humid,Hot,Tropical,Rainy,Monsoon,High Humidity,High Temperature,Warm,Mild,Seasonal,Humid Season,Dry Season,Inter-monsoon,Inter-tropical,Inter-tropical Convergence Zone,South-west Monsoon,North-east Monsoon,Inter-tropical Discontinuity,Inter-tropical Front,Inter-tropical Surface Wind"
Bulgaria,"Mediterranean,Continental,Hot summers,Mild winters,Rainfall,Snow,Humid,Temperatures,Mountainous,Subtropical,Arctic,Temperate,Winds,Storms,Fog,Blizzards,Droughts,Monsoons,Hail,Sunshine"
Burkina Faso,"Hot,Dry,Humid,Tropical,Arid,Subtropical,Rainy,Rainfall,Monsoon,Wet,Sahara,Summer,Winter,Temperatures,North,South,East,West,Sahel,Coastal"
Burma,"Humid,Tropical,Monsoonal,Hot,Subtropical,Rainy,Wet,Dry,Temperatures,Warm,Cool,Rainfall,Storms,Cyclones,Sunshine,Rainy season,Summer,Winter,Windy,Humidity"
Burundi,"Humid,Hot,Tropical,Rainy,Wet,Temperate,Dry,Cool,Arid,Mild,Windy,Humidity,Rainfall,Thunderstorms,Sunlight,Foggy,Cold,Monsoons,Seasons,Flooding"
Cambodia,"Tropical,Hot,Humid,Monsoon,Rainy,Dry,Warm,Mild,Cool,Seasonal,Temperatures,Rainfall,Storms,Floods,Drought,Humidity,Sunshine,Windy,Air Quality,Pollution"
Cameroon,"Humid,Tropical,Hot,Rainy,Temperatures,Rainforest,Monsoon,Dry,Savannah,Seasons,Humidity,Equatorial,Coastal,Wet,Cool,Mild,Windy,Mountainous,Rainfall,Variations"
Canada,"Cold,Snowy,Winter,Rain,Humid,Hot,Foggy,Windy,Sunny,Stormy,Mild,Arctic,Temperate,Cloudy,Freezing,Dry,Subarctic,Oceanic,Polar,Continental"
Cape Verde,"Subtropical,Warm,Arid,Hot,Humid,Dry,Tropical,Oceanic,Mild,Breezy,Temperatures,Pleasant,Cool,Rainy,Sunny,Humidity,Windy,Cooler,Hotter,Variable"
Cayman Islands,"Tropical,Maritime,Humid,Subtropical,Hot,Rainy,Wet,Moderate,Warm,Mild,Pleasant,Sunny,Breezy,Dry,Cool,Humidity,Windy,Temperatures,Thunderstorms,Hurricane season"
Central African Rep.,"Humid,Hot,Tropical,Wet,Rainy,Subtropical,Humid Subtropical,Monsoonal,Variable,Dry,Cool,Mild,Warm,Damp,Muggy,Windy,Temperate,Unpredictable,Variable Rainfall,Extremely Hot"
Chad,"Arid,Hot,Dry,Desert,Tropical,Humid,Rainy,Semi-arid,Temperate,Rainfall,Monsoon,Hot season,Cold season,Windy,Humidity,Subtropical,Saharan,Dusty,Stormy,Extremely variable"
Chile,"Dry,Hot,Humid,Desert,Subtropical,Coastal,Mediterranean,Temperate,Alpine,Cool,Rainy,Windy,Stormy,Mild,Variable,Arid,Tropical,Oceanic,Sunny,Snowy"
China,"Humid,Subtropical,Monsoon,Rainy,Hot,Dry,Temperate,Continental,Mild,Cool,Windy,Harsh,Variable,Dusty,Fickle,Unpredictable,Arid,Humid Subtropical,Oceanic,Polar"
Colombia,"Tropical,Hot,Humid,Rainy,Diverse,Changeable,Variable,Mountainous,Dry,Equatorial,Cool,Mild,Subtropical,Coastal,Monsoon,Temperate,Arid,Humid Subtropical,Oceanic,Continental"
Comoros,"Tropical,Humid,Hot,Wet,Rainy,Cyclones,Monsoons,Storms,High Temperatures,Humidity,Windy,Coastal,Maritime,Dry Season,Wet Season,Intertropical Convergence Zone,Indian Ocean,Maritime Influence,High Precipitation,Tropical Cyclones"
Congo,"Tropical,Humid,Hot,Rainy,Wet,Dry,Warm,Cool,Windy,Humid,Monsoon,Temperatures,Rainfall,Storms,Humidity,Seasonal,Equatorial,Subtropical,Mild,Variable"
Cook Islands,"Tropical,Humid,Hot,Warm,Rainy,Moist,Sub-tropical,Temperate,Mild,Pleasant,Breezy,Oceanic,Mild Winter,Summer Heat,Low Humidity,High Humidity,High Rainfall,Low Rainfall,Cool Nights,Hot Days"
Costa Rica,"Tropical,Humid,Warm,Rainy,Dry,Hot,Seasonal,Temperatures,Mild,Cool,Breezy,Monsoons,Wet,Humidity,Cool Nights,Cloudy,Windy,Stormy,Variations,Mild Winters"
Cote d'Ivoire,"Tropical,Humid,Hot,Rainy,Monsoons,Wet,Dry,Temperatures,Seasons,Humidity,Rainfall,Sunlight,Summer,Winter,Spring,Fall,Sunshine,Windy,Storms,Hurricanes"
Croatia,"Mediterranean,Warm,Humid,Hot Summers,Mild Winters,Rainy,Sunny,Humid Subtropical,Continental,Alpine,Oceanic,Temperatures,Rainfall,Snowfall,Humidity,Winds,Storms,Fog,Cloudy,Dry"
Cuba,"Humid,Tropical,Hot,Subtropical,Rainy,Warm,Mild,Humidity,Windy,Dry,Temperate,Cool,Mild Winters,Hot Summers,Rainy Season,Hurricane Season,Pleasant,Variable,Arid,Unpredictable"
Cyprus,"Mediterranean,Hot,Dry,Mild,Humid,Subtropical,Rainy,Temperate,Warm,Sunny,Windy,Mild Winters,Hot Summers,Rainfall,Snowfall,Long Summers,Short Springs,Moderate Autumns,Cool Nights,Pleasant Springs"
Czech Republic,"Temperate,Continental,Mild,Four Seasons,Hot Summers,Cold Winters,Rainy,Snowy,Humid,Windy,Oceanic,Variable,Stormy,Foggy,Dry,Mild Winters,Long Summers,Sunny,Cool Springs,Mild Autumns"
Denmark,"Mild,Temperate,Oceanic,Humid,Cool,Mild Summers,Cool Winters,Rainy,Windy,Variable,Changeable,Unpredictable,Maritime,Wet,Cloudy,Overcast,Stormy,Snowy,Foggy,Mild Winters"
Djibouti,"Hot,Arid,Dry,Semi-arid,Humid,Desert,Tropical,Monsoon,Rainy,Windy,Sunny,Rainfall,Temperatures,Humidity,Dusty,Scorching,Mild,Cool,Coastal,Extreme"
Dominica,"Tropical,Rainforest,Humid,Hot,Wet,Moderate,Mild,Warm,Cool,Breezy,Windy,Sunny,Rainy,Monsoons,Dry,Oceanic,Temperate,Cooler,Mountainous,Subtropical"
Dominican Republic,"Tropical,Humid,Hot,Rainy,Mild,Dry,Warm,Temperatures,Caribbean,Coastal,Mild Winters,Hot Summers,Rainfall,Monsoon,Humidity,Hurricanes,Windy,Oceanic,Mountainous,Arctic Fronts"
East Timor,"Tropical,Humid,Monsoon,Hot,Rainy,Dry,Wet,Temperatures,High,Low,Coastal,Mountainous,Humidity,Rainfall,Inter-tropical Convergence Zone,Cyclones,Drought,Storms,Fog,Windy"
Ecuador,"Subtropical,Tropical,Humid,Mild,Varied,Rainy,Wet,Dry,Mild,Temperate,Cool,Hot,Wet Season,Dry Season,High Altitude,Mountainous,Coastal,Equatorial,Oceanic,Continental"
Egypt,"Hot,Dry,Humid,Desert,Arid,Sunny,Warm,Temperatures,Extreme,Mediterranean,Coastal,Rainy,Subtropical,Rainfall,Windy,Foggy,Monsoons,Snowy,Stormy,Dusty"
El Salvador,"Tropical,Humid,Hot,Rainy,Dry,Seasonal,Warm,Cool,Windy,Stormy,Cloudy,Wet,Oceanic,Summery,Mild,Monsoon,Humid Subtropical,Volcanic,Arid,Temperate"
Equatorial Guinea,"Humid,Hot,Tropical,Rainy,Cloudy,Stormy,Wet,Dry,Windy,High Temperatures,High Humidity,Heavy Rainfall,Monsoon,Intertropical Convergence Zone,High Pressure System,Low Pressure System,Intermittent Sunshine,High Rainfall Intensity,Intermittent Thunderstorms,Intermittent Hailstorms"
Eritrea,"Hot,Humid,Dry,Arid,Desert,Tropical,Subtropical,Mediterranean,Monsoon,Rainy,Rainfall,Temperatures,Highs,Lows,Windy,Dusty,Humidified,Cooler,Coastal,Mountainous"
Estonia,"Mild,Temperate,Humid,Maritime,Oceanic,Continental,Cold,Wet,Windy,Rainy,Snowy,Summers,Mild Winters,Long Days,Short Nights,Frosty,Foggy,Cloudy,Changeable,Unpredictable"
Ethiopia,"Hot,Dry,Semi-arid,Tropical,Humid,Rainy,Temperate,Monsoon,Windy,Mild,Subtropical,High Altitude,Desert,Sub-humid,Cool,Wet,Mountainous,Rainforest,Pleasant,Variable"
Faroe Islands,"Mild,Maritime,Oceanic,Temperate,Windy,Humid,Rainy,Cloudy,Changeable,Cool,Stormy,Foggy,Mild Winters,Cool Summers,High Precipitation,Variable Precipitation,Mild Temperatures,Cool Temperatures,Atlantic Influence,North Atlantic Drift"
Fiji,"Tropical,Humid,Hot,Rainy,Warm,Mild,Pleasant,Oceanic,Moderate,Sunny,Mild winters,Heavy rainfall,Wet season,Dry season,High humidity,Trade winds,Cyclones,Monsoons,Cool nights,Hot days"
Finland,"Cold,Snowy,Temperate,Arctic,Wet,Humid,Arctic Ocean,Moderate,Sunny,Subarctic,Summers,Winters,Rainy,Windy,Mild,Long Days,Short Nights,Snowfall,Low Temperature,High Humidity"
France,"Mild,Temperate,Maritime,Oceanic,Mediterranean,Warm,Humid,Changeable,Rainy,Summers,Winters,Snowy,Cool,Hot,Mountainous,Alpine,Continental,Stormy,Foggy,Pleasant"
French Guiana,"Tropical,Humid,Hot,Rainy,Cloudy,Temperature,Rainforest,Monsoon,Equatorial,Trade Winds,Humidity,Intertropical Convergence Zone,Sunshine,Dry Season,Wet Season,Storms,Hurricanes,Cyclones,Floods,Droughts"
French Polynesia,"Warm,Tropical,Humid,Hot,Mild,Oceanic,Subtropical,Pleasant,Moderate,Rainy,Sunny,Dry,Cool,Breezy,Calm,Variable,Windy,Humid,Changeable,Pleasant"
Gabon,"Tropical,Humid,Rainforest,Hot,Wet,Equatorial,Tropical Rainforest,Rainy,Monsoon,High Temperatures,High Humidity,Heavy Rainfall,High Rainfall,Wet Season,Dry Season,Coastal Areas,Mountainous Areas,Long Summers,Short Winters,Year-round Heat"
Gambia,"Hot,Humid,Tropical,Dry,Rainy,Wet,Sunny,Windy,Temperatures,High,Low,Moderate,Monsoon,Rainfall,Humidity,Storms,Dusty,Dry season,Wet season,Seasons"
Gaza Strip,"Hot,Humid,Arid,Dry,Desert,Mediterranean,Subtropical,Hot Summers,Mild Winters,Rainy Season,Rainfall,Temperatures,Coastal,Humidity,Evaporation,Sun,Wind,Dusty,Sandstorms,Air Pollution"
Georgia,"Semi-humid,Subtropical,Mild Winters,Hot Summers,Rainy,Humid,Variable,Mild,Temperate,Generally Pleasant,Mountainous,Coastal,Variable Precipitation,Abundant Sunshine,Long Summers,Mild-to-Cool Winters,Fall Foliage,Heavy Thunderstorms,Tornadoes,Humid Subtropical Climate"
Germany,"Mild,Temperate,Humid,Continental,Oceanic,Four Seasons,Rainy,Cold Winters,Hot Summers,Variable,Stormy,Snowy,Foggy,Windy,Cloudy,Sunny,Dry,Mild Winters,Mild Summers,Mild Spring and Autumn"
Ghana,"Tropical,Humid,Hot,Rainy,Coastal,Dry,Wet,Warm,Cool,Temperate,Monsoon,Savannah,Rainforest,Sahara,Windy,Lowland,Highland,Equatorial,Intertropical Convergence Zone (ITCZ),Stormy"
Gibraltar,"Mild,Mediterranean,Subtropical,Oceanic,Temperate,Humid,Warm,Sunny,Rainy,Dry,Hot,Cool,Windy,Foggy,Calm,Variable,Mild Winters,Mild Summers,Occasional Snowfall,Occasional Thunderstorms"
Greece,"Mediterranean,Mild,Dry,Hot,Humid,Summers,Winters,Rainfall,Snow,Temperatures,Sunshine,Rainy,Storms,Coastal,Islands,Mountainous,Humidity,Windy,Foggy,Variable"
Greenland,"Cold,Arctic,Subarctic,Temperate,Polar,Oceanic,Humid,Windy,Dry,Snowy,Rainy,Glacial,Glaciers,Ice Sheets,Icebergs,Fjords,Tundra,Coastal,Long Summers,Short Winters"
Grenada,"Humid,Tropical,Hot,Rainy,Warm,Sunny,Pleasant,Dry,Windy,Humid Subtropical,Mild,Temperatures,Wet,Cool,Humidity,Rainfall,Breezy,Oceanic,Cool Nights,Mild Winters"
Guadeloupe,"Tropical,Humid,Warm,Hot,Rainy,Stormy,Windy,Mild,Trade Winds,High Humidity,Heavy Rains,Hurricanes,Sunshine,Temperatures,Dry Season,Wet Season,Monsoons,High Temperatures,Low Temperatures,Pleasant Weather"
Guam,"Humid,Tropical,Rainy,Hot,Sunny,Warm,Muggy,Mild,Monsoon,Typhoon,Wet,Dry,Windy,Oceanic,Temperate,Moderate,Stormy,Calm,Changeable,Variable"
Guatemala,"Tropical,Humid,Hot,Wet,Rainy,Dry,Mild,Subtropical,Mountainous,Monsoon,Cool,Variable,Temperate,Windy,Humid Subtropical,Oceanic,Highlands,Cooler,Humid Continental,Arid"
Guernsey,"Mild,Temperate,Oceanic,Humid,Mild Winters,Warm Summers,Rainy,Cloudy,Variable,Sunny,Windy,Atlantic,Cool,Changeable,Coastal,Stormy,Foggy,High Humidity,Low Precipitation,Mild Temperature Changes"
Guinea,"Humid,Tropical,Hot,Rainy,Wet,Monsoons,Dry Season,High Temperatures,Heavy Rainfall,High Humidity,High Heat Index,High UV Index,High Rainfall Intensity,High Wind Speeds,High Relative Humidity,Short Dry Season,Long Wet Season,High Thunderstorm Frequency,High Lightning Activity,High Rainfall Variability"
Guinea-Bissau,"Tropical,Humid,Hot,Wet,Rainy,Dry,Monsoon,Coastal,Savannah,Rainforest,Intertropical Convergence Zone,Harmattan,Dusty,Hot Season,Cool Season,High Temperatures,Low Temperatures,High Humidity,Low Humidity,Windy"
Guyana,"Tropical,Humid,Hot,Rainy,Wet,Monsoon,Wet Season,Dry Season,Intertropical Convergence Zone,Equatorial Climate,High Temperatures,High Humidity,High Rainfall,Heavy Downpours,Hurricanes,Thunderstorms,Floods,Droughts,Coastal Areas,Savannahs"
Haiti,"Humid,Tropical,Hot,Rainy,Dry,Monsoon,Windy,Stormy,Warm,Cool,Humidity,Rainfall,Drought,Flooding,Hurricanes,Tropical Storms,High Temperature,Low Temperature,Seasonal Variation,Variable Climate"
Honduras,"Tropical,Humid,Subtropical,Rainy,Hot,Dry,Warm,Temperatures,Mild,Seasons,Rainfall,Cool,Cooler,Arid,Variable,Storms,Hurricanes,Windy,Monsoon,Humidity"
Hong Kong,"Humid,Subtropical,Hot,Rainy,Warm,Mild,Monsoon,Typhoon,Thunderstorms,Foggy,Sunny,Windy,Humid Subtropical,Oceanic,Temperate,High Humidity,Mild Winters,Hot Summers,Extremely Wet,Variable Weather"
Hungary,"Temperate,Continental,Mild,Humid,Hot Summers,Cold Winters,Rainfall,Snowfall,Drought,Thunderstorms,Fog,Windy,Warm Springs,Cool Autumns,Sunny,Cloudy,Humid Continental,Oceanic,Mediterranean,Subarctic"
Iceland,"Cold,Windy,Humid,Arctic,Subarctic,Temperate,Oceanic,Wet,Snowy,Rainy,Cloudy,Mild,Stormy,Foggy,Dry,Cool,Warm,Variable,Breezy,Changeable"
India,"Hot,Humid,Monsoon,Tropical,Dry,Rainy,Mild,Seasonal,Temperate,Arid,Subtropical,Oceanic,Desert,Humid Subtropical,Continental,Mountainous,Coastal,Humid Continental,Subarctic,Alpine"
Indonesia,"Tropical,Humid,Rainy,Monsoon,Wet,Hot,Damp,Dry,Warm,Temperatures,Humidity,Rainfall,Inter-monsoon,Inter-tropical Convergence Zone,El Niño,La Niña,Cyclones,Storms,Floods,Droughts"
Iran,"Humid,Hot,Arid,Dry,Temperate,Mild,Desert,Mediterranean,Continental,Subtropical,Mountainous,Rainy,Windy,Snowy,Stormy,Foggy,Sunny,Humid Continental,Monsoon,Tropical"
Iraq,"Hot,Arid,Dry,Humid,Desert,Sunny,Temperatures,Extreme,Dusty,Windy,Extremely hot,Rainfall,Scorching,Subtropical,Summer,Monsoon,Mild winters,Intense heat,Humidity,Cool nights"
Ireland,"Mild,Temperate,Maritime,Oceanic,Humid,Rainy,Moderate,Atlantic,Changeable,Windy,Cloudy,Mild Winters,Cool Summers,Variable,Unpredictable,Precipitation,Sunshine,Atlantic Storms,Snowfall,Foggy"
Isle of Man,"Oceanic,Mild,Temperate,Maritime,Humid,Cool,Wet,Windy,Rainy,Cloudy,Foggy,Mild Winters,Mild Summers,Variable Weather,Changeable,Cool Summers,Mild Spring,Mild Autumn,Atlantic Influenced,Mild Year-Round"
Israel,"Mediterranean,Humid,Hot,Dry,Arid,Temperate,Rainy,Winters,Summers,Mild,Coastal,Desert,Subtropical,Variable,Humid Continental,Snowy,Cool,Rainfall,Mountainous,Mild Winters"
Italy,"Mediterranean,Mild,Temperate,Hot,Humid,Rainy,Snowy,Summers,Winters,Spring,Autumn,Coastal,Alpine,Foggy,Sunny,Variable,Stormy,Windy,Rainfall,Seasonal"
Jamaica,"Humid,Tropical,Hot,Rainy,Subtropical,Mild,Warm,Humidity,Temperatures,Sunshine,Breezy,Monsoon,Storms,Hurricanes,Rainfall,Dry,Cool,Wet,Seasons,Oceanic"
Japan,"Humid,Temperate,Mild,Rainy,Four seasons,Hot summers,Cold winters,Snowy,Typhoon,Monsoon,Thunderstorms,Foggy,Windy,Damp,Sunny,Tropical,Subtropical,Oceanic,Arctic,Arctic air masses"
Jersey,"Mild,Temperate,Oceanic,Humid,Warm Summers,Cool Winters,Rainy,Windy,Foggy,Cloudy,High Humidity,High Rainfall,Low Sunshine Hours,Variable Weather,Prevailing Westerly Winds,Atlantic Maritime Climate,Mild Winters,Mild Summers,Cool Spring,Mild Autumn"
Jordan,"Dry,Hot,Semi-arid,Temperate,Humid,Desert,Mediterranean,Rainy,Arid,Mild,Cool,Sunny,Windy,Hot Summers,Cold Winters,Low Humidity,High Temperatures,Dusty Conditions,Variable Weather,Unpredictable Rainfall"
Kazakhstan,"Continental,Semi-arid,Hot summers,Cold winters,Low precipitation,High evaporation,Dry climate,Deserts,Steppes,Extreme temperatures,Windy,Variability,Humid continental,Subarctic,Mountainous,Lowland,Highland,Central Asian,Arid,Continental Subarctic"
Kenya,"Humid,Tropical,Arid,Hot,Dry,Variable,Rainy,Monsoonal,Temperate,Mild,Cool,Windy,Sunny,Dry Season,Wet Season,Humid Season,Rainy Season,High Altitude,Coastal,Mountainous"
Kiribati,"Tropical,Warm,Humid,Hot,Wet,Rainy,Dry,Relatively Constant,Moderate,Mild,Windy,Variable,Hot Season,Rainy Season,High Temperatures,Low Humidity,High Humidity,High Rainfall,Low Rainfall,Stormy"
North Korea,"Cold,Humid,Continental,Subarctic,Snowy,Rainy,Windy,Stormy,Hot Summers,Long Winters,Dry,Monsoonal,Variable,Unpredictable,Extreme Temperatures,Heavy Precipitation,High Humidity,Foggy,Harsh Winters,Warm Springs"
South Korea,"Humid,Subtropical,Mild,Temperate,Four Seasons,Rainy,Hot Summers,Cold Winters,Monsoons,Snowy,Windy,Sunny,Cloudy,Foggy,Humid Continental,Oceanic,Continental,Damp,Humid Subtropical,Dry"
Kuwait,"Hot,Dry,Arid,Humid,Sunny,Desert,Windy,Rainy,Humid,Harsh,Dusty,Extreme Temperatures,Intense Sunlight,Unpredictable,Unstable,Scorching,Sandstorms,High Humidity,Uncomfortable,Unpleasant"
Kyrgyzstan,"Continental,Dry,Mild,Hot Summers,Cold Winters,Semi-arid,Subarctic,Windy,Humid,Snowy,Sunny,Rainy,Variable,Mountainous,Low Precipitation,High Altitude,Temperate,High Diurnal Range,Low Humidity,Dry Continental Climate"
Laos,"Tropical,Humid,Monsoon,Rainy,Hot,Temperatures,Warm,Cool,Dry,Humidity,Seasons,Rainfall,Storms,Monsoonal,Floods,Windy,Mountainous,Subtropical,Cooler,Mild"
Latvia,"Mild,Temperate,Maritime,Continental,Humid,Four Seasons,Long Summers,Short Winters,Rainy,Snowy,Windy,Low Temperatures,High Precipitation,Stormy,Foggy,Cloudy,Mild Winters,Cool Summers,Long Spring,Short Autumn"
Lebanon,"Mediterranean,Hot,Humid,Temperate,Mild,Rainy,Dry,Summers,Winters,Snow,Fog,Sunshine,Breezy,Coastal,Mountainous,Stormy,Monsoons,Variable,Arid,Pleasant"
Lesotho,"Tropical,Subtropical,Humid,Temperate,Semi-arid,Cool,Mountainous,Rainy,Dry,Windy,Mild,Hot,Snowy,Cool Summers,Mild Winters,Heavy Rains,Occasional Drought,High Altitude,High Temperatures,Low Humidity"
Liberia,"Humid,Tropical,Hot,Rainy,Wet,Monsoon,Dry,Cooler,Temperate,Humidity,Rainfall,Sunshine,Windy,Mountainous,Coastal,Rainy Season,Dry Season,Inter-tropical Convergence Zone,Harmattan Winds,Dusty"
Libya,"Hot,Dry,Desert,Arid,Mediterranean,Subtropical,Humid,Extremely Hot,Long Summers,Short Winters,Rainy Season,Dusty,Windy,Unpredictable Weather,Hot Winds,Sandstorms,High Temperatures,Low Humidity,Low Rainfall,Coastal Areas Milder"
Liechtenstein,"Alpine,Temperate,Mild,Mountainous,Humid,Continental,Oceanic,Rainy,Snowy,Windy,Sunny,Cloudy,Mild Summers,Cool Winters,High Altitude,Mediterranean Influence,Hot Summers,Occasional Hailstorms,Low Precipitation,Variable Weather"
Lithuania,"Cold,Rainy,Humid,Mild,Temperate,Variable,Breezy,Snowy,Summers,Winters,Wet,Dry,Oceanic,Continental,Foggy,Cloudy,Windy,Sunny,Hot,Chilly"
Luxembourg,"Mild,Temperate,Oceanic,Humid,Rainy,Moderate,Cool,Warm,Changeable,Variable,Windy,Cloudy,Foggy,Snowy,Hot,Sunny,Spring-like,Autumn-like,Summer-like,Winter-like"
Macau,"Humid,Subtropical,Hot,Rainy,Monsoon,Mild,Pleasant,Humid subtropical,Summer,Winter,Spring,Fall,Oceanic,Temperatures,Highs,Lows,Precipitation,Sunshine,Wet,Dry"
