country;keywords animals
Chile;Guanaco,Pudu,Huemul,Chilean Pigeon,Chilean Flamingo,Chilean Woodpecker,Chilean Tinamou,Chilean Hawk,Chilean Skua,Chilean Swallow,Chilean Owl,Chilean Tinamou,Chilean Rail,Chilean Tinamou,Chilean Dotterel,Chilean Woodstar,Chilean Mockingbird,Chilean Seaside Cinclodes,Chilean Pintail,Chilean Teal,Chilean Duck,Chilean Ibis,Chilean Condor,Chilean Caracara,Chilean Eagle,Chilean Buzzard,Chilean Kestrel,Chilean Falcon,Chilean Owls,Chilean Nightjar,Chilean Snipe,Chilean Tinamou,Chilean Parakeet,Chilean Pygmy-Owl,Chilean Pigeon,Chilean Tapaculo,Chilean Woodpecker,Chilean Grebe,Chilean Cormorant,Chilean Oystercatcher,Chilean Black-necked Swan,Chilean Grebe,Chilean Magellanic Penguin,Chilean Cormorant,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck,Chilean Flightless Steamer Duck
China;Giant Panda,Chinese Alligator,Chinese Pangolin,Chinese White Dolphin,Chinese Giant Salamander,Chinese Water Deer,Chinese Sturgeon,Chinese Crocodile Lizard,Chinese Giant Softshell Turtle,Chinese Giant Flying Squirrel,Chinese Giant Mole,Chinese Musk Deer,Chinese Serow,Chinese Pheasant,Chinese Goral,Chinese Gorals,Chinese Porcupine,Chinese White-Lipped Deer,Chinese Serow,Chinese Red Fox,Chinese Grey Wolf,Chinese Red Wolf,Chinese Ferret Badger,Chinese Small-Clawed Otter,Chinese Racoon Dog,Chinese Moon Bear,Chinese Golden Cat,Chinese Leopard,Chinese Tiger,Chinese Clouded Leopard,Chinese Yellow-Throated Marten,Chinese Otter,Chinese Wild Boar,Chinese Water Buffalo,Chinese Gazelle,Chinese Muntjac,Chinese Wild Horse,Chinese Wild Ass,Chinese Wild Yak,Chinese Reeve's Muntjac,Chinese Wild Sheep,Chinese Takin,Chinese Serow,Chinese Goral,Chinese Argali,Chinese Pika,Chinese Pika,Chinese Red Deer,Chinese Roe Deer,Chinese Musk Deer,Chinese Badger,Chinese Giant Panda,Chinese Red Panda,Chinese Red-Bellied Squirrel,Chinese Flying Squirrel,Chinese Tree Squirrel,Chinese Striped Squirrel,Chinese Pygmy Marmoset,Chinese Golden Snub-Nosed Monkey,Chinese Macaque,Chinese Gibbon,Chinese Langur,Chinese Hoolock Gibbon,Chinese Pied Starling,Chinese Great Spotted Woodpecker,Chinese Crested Ibis,Chinese Falcon,Chinese Peafowl,Chinese Partridge,Chinese Quail,Chinese Watercock,Chinese Mandarin Duck,Chinese Egret,Chinese White-Eared Pheasant,Chinese Crested Myna,Chinese Bulbul,Chinese Black-Necked Crane,Chinese Merganser,Chinese Kingfisher,Chinese Blue-Throated Bee-Eater,Chinese White-Rumped Falcon,Chinese Sparrowhawk,Chinese Grey-Headed Fish Eagle,Chinese Crested Goshawk,Chinese Peregrine Falcon,Chinese Grey-Faced Buzzard,Chinese Black-Necked Stork,Chinese Osprey,Chinese Peregrine Falcon,Chinese Golden Eagle,Chinese Harrier,Chinese Red-Crowned Crane,Chinese Black-Necked Crane,Chinese Swan Goose,Chinese Bar-Headed Goose,Chinese Ruddy Shelduck,Chinese Mandarin Duck,Chinese Whooper Swan,Chinese Black-Necked Grebe,Chinese Crested Tern
Colombia;Tapir,Spectacled Bear,Jaguar,Puma,Ocelot,Margay,White-tailed Deer,Collared Peccary,Capybara,Giant Anteater,Sloth,Howler Monkey,Spider Monkey,Squirrel Monkey,Red-footed Tortoise,Anaconda,Boa Constrictor,Iguana,Caiman,Giant River Otter,Harpy Eagle,King Vulture,Scarlet Macaw,Andean Condor,Grey-breasted Crake,Horned Screamer,Hoatzin,Red-billed Tropicbird,White-bellied Spinetail,White-tipped Sicklebill,Blue-crowned Motmot,Brown-throated Parakeet,Andean Cock-of-the-rock,Red-capped Cardinal,Banded Ground Cuckoo,Chestnut-bellied Hummingbird,White-tailed Hawk,Great Black Hawk,Grey-necked Wood Rail,Grey-breasted Wood Wren,Rufous-vented Ground Cuckoo,Black-chested Buzzard-Eagle,Black-headed Saltator,Black-bellied Whistling Duck,Grey-breasted Martin,Orange-chinned Parakeet,Scarlet-fronted Parakeet,Red-crowned Woodpecker,Black-throated Trogon,White-throated Toucan,Black-necked Red Cotinga,Chestnut-capped Piha,Rufous-tailed Jacamar,White-whiskered Puffbird,Rufous-breasted Antthrush,White-lored Tyrannulet,White-capped Dipper,Black-billed Mountain Toucan,Golden-headed Quetzal,Crimson-rumped Toucanet,White-ruffed Manakin,Rufous-capped Nunlet,White-tailed Trogon,White-vented Euphonia,Black-capped Donacobius,Great Potoo,Band-winged Nightjar,White-collared Swift,White-throated Swift,White-tipped Sicklebill,White-fronted Nunbird,Black-crested Antshrike,Black-crested Coquette,White-tailed Nightjar,Black-fronted Nunbird,White-cheeked Tody-Tyrant,White-throated Crake,White-throated Flycatcher,White-winged Becard,White-winged Swallow,White-necked Puffbird,White-necked Jacobin,White-faced Nunbird,White-bellied Spinetail,White-bellied Antbird,White-bellied Woodstar,White-bellied Emerald,White-bellied Chachalaca,White-bellied Antpitta,White-banded Swallow,White-banded Tanager,White-backed Fire-eye,White-rumped Hawk,White-rumped Sandpiper,White-tailed Hawk,White-tailed Kite,White-tailed Deer,White-tailed Antbird,White-fronted Parrot,White-fronted Capuchin
Comoros;Elephant,Cheetah,Lion,Leopard,African Wild Dog,Hippopotamus,Warthog,African Bush Elephant,African Civet,African Palm Civet,Aardvark,African Wild Cat,African Clawless Otter,African Mongoose,African Porcupine,African Rock Python,African Striped Weasel,Banded Mongoose,Black-backed Jackal,Bushbuck,Caracal,Common Genet,Common Hippopotamus,Common Warthog,Cusimanse,Dwarf Mongoose,Egyptian Mongoose,Giant Pangolin,Golden Jackal,Green Monkey,Grey-headed Bushshrike,Honey Badger,Hyena,Impala,Jackal Buzzard,Lappet-faced Vulture,Large-spotted Genet,Leopard Tortoise,Marsh Mongoose,Olive Baboon,Pied Kingfisher,Red-billed Hornbill,Red-tailed Monkey,Rock Hyrax,Slender Mongoose,Small-spotted Genet,Speckled Mousebird,Spotted Hyaena,Suni,Vervet Monkey,Waterbuck,White-tailed Mongoose,Wild Dog,Yellow Mongoose,Yellow-spotted Rock Hyrax,African Elephant,African Fish Eagle,African Grey Hornbill,Banded Mongoose,Black-and-white Colobus,Black-faced Vervet,Black-footed Cat,Black-headed Heron,Blue Duiker,Blue-naped Mousebird,Bushpig,Cape Clawless Otter,Common Duiker,Common Ostrich,Common Waterbuck,Crowned Crane,Dideric Cuckoo,Egyptian Goose,Four-striped Grass Mouse,Grey Heron,Grey Parrot,Grey-headed Kingfisher,Kudu,Lesser Flamingo,Long-tailed Cormorant,Long-tailed Sunbird,Malachite Kingfisher,Mangrove Kingfisher,Marsh Tchagra,Natal Spurfowl,Oribi,Palm-nut Vulture,Red-billed Oxpecker,Red-chested Flufftail,Red-fronted Tinkerbird,Red-tailed Tropicbird,Sacred Ibis,Senegal Coucal,Slender-tailed Meerkat,Southern Ground Hornbill,Spotted Thick-knee,Spur-winged Goose,Striped Kingfisher,White-breasted Cormorant,White-headed Vulture
Congo;Gorilla,Chimpanzee,Elephant,Hippopotamus,Giraffe,Buffalo,African Wild Dog,Warthog,Spotted Hyena,Leopard,Lion,Giant Forest Hog,Bushpig,African Civet,Serval,African Wildcat,African Clawless Otter,Caracal,African Golden Cat,Cheetah,Aardvark,Slender-snouted Crocodile,Nile Crocodile,Dwarf Crocodile,African Rock Python,African Pouched Rat,Greater Galago,Crowned Hawk-eagle,African Fish Eagle,White-necked Raven,Black-headed Weaver,African Grey Parrot,Red-bellied Paradise Flycatcher,White-crested Turaco,Red-collared Widowbird,Grey-headed Kingfisher,Pygmy Kingfisher,Yellow-billed Stork,Sacred Ibis,Marabou Stork,Grey-winged Francolin,Black-bellied Bustard,Black-winged Pratincole,Black Kite,White-headed Vulture,Palm-nut Vulture,African Harrier-hawk,African Jacana,Black Crake,Black-headed Gonolek,Black-headed Weaver,Red-headed Lovebird,White-breasted Cormorant,White-winged Widowbird,Red-billed Firefinch,Black-billed Wood Dove,Grey-headed Parrot,Grey-headed Bush Shrike,Red-billed Hornbill,White-backed Vulture,White-throated Bee-eater,African Palm Swift,African Wood Owl,White-backed Night Heron,Great White Pelican,African Jacana,White-faced Whistling Duck,African Pygmy Goose,Red-chested Flufftail,African Pygmy Kingfisher,African Finfoot,White-crested Helmet Shrike,African Broadbill,Black-and-white Casqued Hornbill,Black-headed Heron,African Wood Owl,Black-breasted Snake Eagle,Black-headed Lapwing,Black-shouldered Kite,African Grey Hornbill,African Grey Go-away Bird,Black-crowned Crane,White-bellied Bustard,Great Snipe,Black-tailed Godwit,Wattled Crane,Black-crowned Night Heron,Black-winged Pratincole,African River Martin,African Mourning Dove,White-backed Duck,Black-bellied Bustard,African Stonechat,African Darter,African Skimmer,African Mourning Dove,White-bellied Bustard,African Jacana,Black-headed Weaver,Red-necked Spurfowl
Cook Islands;Sea Turtles,Whales,Dolphins,Sharks,Manta Rays,Giant Trevally,Parrotfish,Butterflyfish,Triggerfish,Pufferfish,Damselfish,Clownfish,Groupers,Moray eels,Lionfish,Sharks,Eagle Rays,Jacks,Tuna,Barracuda,Wrasse,Flying fish,Triton,Octopus,Squid,Nudibranchs,Sea Slugs,Sea stars,Sea cucumbers,Crabs,Lobsters,Hermit Crabs,Sea urchins,Sea snails,Sea shells,Sea anemones,Sea horses,Sea jellies,Sea birds,Boobies,Terns,Frigate birds,Tropicbirds,Gannets,Albatross,Shearwaters,Petrels,Hawks,Owls,Kestrels,Seagulls,Cormorants,Herons,Egrets,Ducks,Geese,Lizards,Skinks,Iguanas,Frogs,Monitors,Geckos,Fruit bats,Flying foxes,Pigs,Goats,Sheep,Chickens,Ducks,Geese,Wallabies,Possums,Rats,Mice,Rabbits,Cats,Dogs,Horses,Donkeys,Cows,Bats,Butterflies,Beetles,Moths,Cicadas,Grasshoppers,Ants,Bees,Wasps,Worms,Centipedes,Millipedes,Spiders,Crickets,Snakes,Lizards,Sea snakes,Sea turtles,Sea cucumbers,Corals
Costa Rica;Spider Monkey,Howler Monkey,White-faced Capuchin,Squirrel Monkey,Jaguar,Margay,Ocelot,Puma,Tapir,Sloth,Anteater,Coati,Paca,Agouti,White-tailed Deer,Collared Peccary,Red Brocket Deer,Northern Tamandua,White-lipped Peccary,Jaguarundi,Margay Cat,Baird's Tapir,American Crocodile,American Alligator,Green Iguana,Basilisk,Green Sea Turtle,Hawksbill Turtle,Leatherback Turtle,Olive Ridley Turtle,American Kestrel,White Hawk,Ferruginous Pygmy Owl,Great Curassow,Scarlet Macaw,Keel-billed Toucan,Yellow-naped Amazon,Sunbittern,Jabiru,Roseate Spoonbill,Magnificent Frigatebird,Great Green Macaw,Green Parakeet,White-throated Magpie Jay,Rufous-tailed Hummingbird,White-necked Jacobin,Black-bellied Whistling Duck,American Pygmy Kingfisher,American Kite,Black-faced Solitaire,Montezuma Oropendola,Boat-billed Heron,Montezuma Quail,Black-headed Trogon,Great Tinamou,Black Guan,White Hawk,White Hawk,Ornate Hawk-Eagle,Barred Forest-Falcon,Laughing Falcon,Crested Owl,Spectacled Owl,Striped Owl,Black-and-white Owl,Black-bellied Whistling-Duck,Muscovy Duck,Green-winged Teal,White-throated Crake,Limpkin,Roseate Spoonbill,Black-bellied Whistling-Duck,Muscovy Duck,Green-winged Teal,White-throated Crake,Limpkin,Roseate Spoonbill,Black-bellied Whistling-Duck,Muscovy Duck,Green-winged Teal,White-throated Crake,Limpkin,Roseate Spoonbill,Great Egret,Little Blue Heron,Snowy Egret,Tricolored Heron,Cattle Egret,Green Heron,Great Blue Heron,Black Vulture,Turkey Vulture,King Vulture,Yellow-headed Caracara,Laughing Falcon,Crested Caracara,Red-throated Caracara,Great Tinamou,Black Guan,White Hawk
Cote d'Ivoire;African Elephant,Chimpanzee,Western Gorilla,Lion,Leopard,African Buffalo,Hippopotamus,Warthog,Common Warthog,Bush Pig,Bushbuck,Waterbuck,Roan Antelope,Hartebeest,Red-Flanked Duiker,Water Chevrotain,Mona Monkey,Patas Monkey,Green Vervet Monkey,Red-Capped Mangabey,Red Colobus Monkey,Olive Baboon,Pygmy Hippopotamus,African Wild Dog,Jackal,Spotted Hyena,Honey Badger,Genet,Civet,African Civet,Marsh Mongoose,White-Tailed Mongoose,Slender Mongoose,Serval,Caracal,African Wild Cat,African Clawless Otter,African Marsh Otter,African Striped Weasel,African Palm Civet,Bushy-Tailed Mongoose,Crested Porcupine,African Brush-Tailed Porcupine,Rock Hyrax,African Tree Pangolin,Giant Pangolin,African Giant Rat,African Dormouse,African Giant Squirrel,Gambian Rat,African Giant Otter Shrew,Striped Grass Mouse,African Pygmy Mouse,African Mole Rat,African Soft-Furred Rat,African Giant Pouched Rat,African Climbing Mouse,African Striped Mouse,African Pygmy Mouse,African Giant Rat,African Dormouse,African Giant Squirrel,Gambian Rat,African Giant Otter Shrew,Striped Grass Mouse,African Pygmy Mouse,African Mole Rat,African Soft-Furred Rat,African Giant Pouched Rat,African Climbing Mouse,African Striped Mouse,African Pygmy Mouse,African Giant Rat,African Dormouse,African Giant Squirrel,Gambian Rat,African Giant Otter Shrew,Striped Grass Mouse,African Pygmy Mouse,African Mole Rat,African Soft-Furred Rat,African Giant Pouched Rat,African Climbing Mouse,African Striped Mouse,African Pygmy Mouse,African Giant Rat,African Dormouse,African Giant Squirrel,Gambian Rat,African Giant Otter Shrew,Striped Grass Mouse,African Pygmy Mouse,African Mole Rat,African Soft-Furred Rat,African Giant Pouched Rat,African Climbing Mouse,African Striped Mouse,African Pygmy Mouse,African Giant Rat,African Dormouse
Croatia;Wolf,Brown Bear,Wild Boar,Red Fox,Roe Deer,Red Deer,European Hare,European Badger,Eurasian Lynx,Wild Cat,Golden Jackal,Red Squirrel,Roe Deer,Wild Goat,European Otter,European Beaver,European Mink,European Polecat,Eurasian Water Shrew,European Hedgehog,European Hedgehog,European Hedgehog,European Hedgehog,Wild Rabbit,European Roe Deer,European Roe Deer,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar,Wild Boar
Cuba;Cuban Hutia,Cuban Solenodon,Cuban Crocodile,Cuban Treefrog,Cuban Pygmy Owl,Cuban Boa,Cuban Parrot,Cuban Woodpecker,Cuban Iguana,Cuban Amazon,Cuban Macaw,Cuban Anole,Cuban Giant Toad,Cuban Emerald,Cuban Nightjar,Cuban Tody,Cuban Parakeet,Cuban Hummingbird,Cuban Gecko,Cuban Parrotlet,Cuban Trogon,Cuban Parrotfish,Cuban Bullfinch,Cuban Blackbird,Cuban Trogon,Cuban Parrot,Cuban Parakeet,Cuban Woodpecker,Cuban Owl,Cuban Barn Owl,Cuban Screech Owl,Cuban Pygmy Owl,Cuban Nightjar,Cuban Anole,Cuban Galliwasp,Cuban Gecko,Cuban Boa,Cuban Racer,Cuban Iguana,Cuban Crocodile,Cuban Hutia,Cuban Solenodon,Cuban Rice Rat,Cuban Hutia,Cuban Fruit Bat,Cuban Hutia,Cuban Rice Rat,Cuban Woodpecker,Cuban Emerald,Cuban Parrot,Cuban Macaw,Cuban Parrotlet,Cuban Bullfinch,Cuban Tody,Cuban Blackbird,Cuban Trogon,Cuban Parakeet,Cuban Hummingbird,Cuban Gecko,Cuban Boa,Cuban Racer,Cuban Iguana,Cuban Crocodile,Cuban Treefrog,Cuban Pygmy Owl,Cuban Boa,Cuban Parrot,Cuban Woodpecker,Cuban Iguana,Cuban Amazon,Cuban Macaw,Cuban Anole,Cuban Giant Toad,Cuban Emerald,Cuban Nightjar,Cuban Tody,Cuban Parakeet,Cuban Hummingbird,Cuban Gecko,Cuban Parrotlet,Cuban Trogon,Cuban Parrotfish,Cuban Bullfinch,Cuban Blackbird,Cuban Trogon,Cuban Parrot,Cuban Parakeet,Cuban Woodpecker,Cuban Owl,Cuban Barn Owl,Cuban Screech Owl,Cuban Pygmy Owl,Cuban Nightjar,Cuban Anole,Cuban Galliwasp,Cuban Gecko,Cuban Boa,Cuban Racer,Cuban Iguana,Cuban Crocodile
Cyprus;Cyprus Shrew,Wild Boar,Golden Jackal,Fox,Rabbit,Wild Cat,Hedgehog,Weasel,Badger,Red Fox,Wild Goat,Roe Deer,Agama Lizard,Spur-thighed Tortoise,Marsh Frog,Striped Snake,Grass Snake,Aesculapian Snake,Dice Snake,Montpellier Snake,European Pond Turtle,Spur-thighed Tortoise,Hermann's Tortoise,Mediterranean Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise,Spur-thighed Tortoise
Czech Republic;Wild Boar,Red Deer,Roe Deer,Red Fox,European Hare,European Badger,European Otter,European Polecat,European Beaver,Eurasian Lynx,European Wolf,European Wild Cat,European Pine Marten,European Mink,European Water Vole,Common Genet,Common Shrew,Common Pipistrelle,Common Vole,Common Frog,Common Toad,Common Newt,Common Grass Snake,Smooth Snake,Aesculapian Snake,European Pond Terrapin,European Pond Turtle,European Green Lizard,Viviparous Lizard,European Wall Lizard,European Tree Frog,Edible Frog,Moor Frog,Common Frog,Common Toad,Marsh Frog,European Fire-bellied Toad,European Green Toad,Common Midwife Toad,Common Spadefoot Toad,Common Toad,Common Wall Lizard,European Tree Frog,European Green Lizard,European Wall Lizard,Viviparous Lizard,European Pond Turtle,European Pond Terrapin,Aesculapian Snake,Smooth Snake,Common Grass Snake,Common Newt,Common Toad,Common Frog,Common Vole,Common Pipistrelle,Common Shrew,Common Genet,European Water Vole,European Mink,European Pine Marten,European Wild Cat,European Wolf,Eurasian Lynx,European Beaver,European Polecat,European Otter,European Badger,European Hare,Red Fox,Roe Deer,Red Deer,Wild Boar,White-tailed Eagle,Great Bustard,Greater Spotted Eagle,Lesser Spotted Eagle,Eurasian Hobby,Eurasian Sparrowhawk,Common Kestrel,Eurasian Eagle Owl,Eurasian Pygmy Owl,Tawny Owl,Long-eared Owl,Short-eared Owl,Common Buzzard,Red Kite,Common Crane,Eurasian Oystercatcher,Northern Lapwing,Common Redshank,Common Snipe,Eurasian Curlew,Eurasian Woodcock,Black Woodpecker,Grey-headed Woodpecker,White-backed Woodpecker,Great Spotted Woodpecker,Black Grouse,Hazel Grouse
Denmark;Red Deer,Wild Boar,Roe Deer,Fox,Badger,Arctic Fox,Rabbit,Mink,Stoat,Weasel,Lynx,Beaver,Otter,Red Squirrel,Hedgehog,Grey Seal,Harbour Seal,Harbour Porpoise,Harbour Porpoise,Bottlenose Dolphin,White-tailed Eagle,White-tailed Sea Eagle,Red Kite,White Stork,Great Cormorant,Grey Heron,Marsh Harrier,Common Buzzard,Snowy Owl,Tawny Owl,Long-eared Owl,Short-eared Owl,Barn Owl,Kestrel,Red-backed Shrike,Woodlark,Red-breasted Merganser,Mallard,Common Pheasant,Common Crane,Common Kingfisher,Great Bittern,Little Grebe,Mute Swan,Whooper Swan,Greylag Goose,Shelduck,Pintail,Teal,Wigeon,Tufted Duck,Pochard,Goldeneye,Smew,Goosander,Red-breasted Goose,Black-headed Gull,Common Gull,Herring Gull,Lesser Black-backed Gull,Great Black-backed Gull,Common Tern,Arctic Tern,Black Tern,Common Guillemot,Razorbill,Common Murre,Atlantic Puffin,Black Guillemot,Black-throated Diver,Great Skua,Arctic Skua,Long-tailed Skua,Barnacle Goose,Greylag Goose,Red-throated Diver,Slavonian Grebe,Little Auk,Rock Dove,Wood Pigeon,Collared Dove,Turtle Dove,Cuckoo,Swift,Skylark,Sand Martin,House Martin,Meadow Pipit,Grey Wagtail,Tree Pipit,Redstart,Whinchat,Wheatear,Stonechat,Redwing,Fieldfare,Song Thrush,Blackbird,Mistle Thrush,Starling
Djibouti;African Wild Ass,Dromedary Camel,Dorcas Gazelle,Soemmerring's Gazelle,Oryx,Warthog,Hyena,Jackal,Fox,Aardwolf,Caracal,African Wild Cat,Genet,Mongoose,Striped Hyena,Honey Badger,Slender Mongoose,Small-spotted Genet,Wild Dog,Serval,Cheetah,Leopard,African Elephant,Hippopotamus,Bush Pig,Warthog,Bushbuck,Bohor Reedbuck,Klipspringer,Greater Kudu,Eland,Oribi,Bush Duiker,Common Duiker,Steenbok,Dik-dik,Klipspringer,Abyssinian Hare,Rock Hyrax,Aardvark,Elephant Shrew,Greater Galago,Lesser Galago,Slender Loris,African Civet,African Palm Civet,Striped Polecat,Bat-eared Fox,Fennec Fox,Cape Hare,Porcupine,African Porcupine,Crested Porcupine,Banded Mongoose,Dwarf Mongoose,Yellow Mongoose,Marsh Mongoose,Gambian Mongoose,White-tailed Mongoose,Slender Mongoose,Black-backed Jackal,Side-striped Jackal,Black-footed Cat,Caracal,African Wild Cat,Serval,African Wild Dog,Cheetah,Leopard,African Elephant,Hippopotamus,Warthog,Bush Pig,Bushbuck,Bohor Reedbuck,Klipspringer,Greater Kudu,Oribi,Eland,Steenbok,Dik-dik,Oryx,African Wild Ass,Dorcas Gazelle,Soemmerring's Gazelle,Dromedary Camel,African Wild Dog,Jackal,Fox,Aardwolf,Hyena,Striped Hyena,Honey Badger,African Civet,African Palm Civet,Striped Polecat,Bat-eared Fox,Fennec Fox,Cape Hare,Porcupine
Dominica;Mona Monkey,Red-necked Parrot,White-necked Crow,Sisserou Parrot,Whistling Warbler,Brown Trembler,Brown Pelican,Brown Booby,Red-footed Booby,Magnificent Frigatebird,Brown Booby,Brown Pelican,Red-footed Booby,Magnificent Frigatebird,White-tailed Tropicbird,Least Tern,Bridled Quail-dove,Scaly-breasted Thrasher,Plain Pigeon,Grey-breasted Martin,Scaly-naped Pigeon,Caribbean Dove,Zenaida Dove,White-crowned Pigeon,Ruddy Quail-dove,White-winged Dove,Antillean Crested Hummingbird,Green-throated Carib,Blue-headed Hummingbird,Green-throated Mango,White-chested Emerald,Purple-throated Carib,Antillean Euphonia,Red-legged Honeycreeper,Purple-throated Carib,Bananaquit,Black-faced Grassquit,Lesser Antillean Bullfinch,Carib Grackle,Brown-throated Parakeet,Brown-crested Flycatcher,Caribbean Elaenia,Lesser Antillean Pewee,Brown-crested Flycatcher,Caribbean Elaenia,Lesser Antillean Pewee,Caribbean Martin,Barn Swallow,Grey Kingbird,Loggerhead Kingbird,Scaly-breasted Thrasher,Grey Trembler,Tropical Mockingbird,Grey Kingbird,Loggerhead Kingbird,Caribbean Martin,Barn Swallow,Grey Trembler,Tropical Mockingbird,White-breasted Thrasher,Northern Mockingbird,Grey-breasted Martin,Rufous-throated Solitaire,Scaly-naped Pigeon,Yellow-shouldered Blackbird,Brown-throated Parakeet,Caribbean Elaenia,Brown-crested Flycatcher,Lesser Antillean Pewee,Caribbean Martin,Barn Swallow,Grey Kingbird,Loggerhead Kingbird,Grey Trembler,Tropical Mockingbird,White-breasted Thrasher,Northern Mockingbird,Rufous-throated Solitaire,Scaly-naped Pigeon,Yellow-shouldered Blackbird,Brown-throated Parakeet,Caribbean Elaenia,Brown-crested Flycatcher,Lesser Antillean Pewee,Caribbean Martin,Barn Swallow,Grey Kingbird,Loggerhead Kingbird,Grey Trembler,Tropical Mockingbird,White-breasted Thrasher,Northern Mockingbird,Rufous-throated Solitaire,Scaly-naped Pigeon,Yellow-shouldered Blackbird,Brown-throated Parakeet,Caribbean Elaenia,Brown-crested Flycatcher,Lesser Antillean Pewee,Caribbean Martin
